“我们结婚吧”			刚才儿子给我弹了个视频，一接上就说“


吃了两碗又盛			我劝朋友走路时候不要看手机，她说:没关系，我走盲道。


挖鼻孔的老虎			中秋假期结束，第一天上班不怎么忙，看到老板娘在玩塔罗牌，我问这东西有什么用？她说可以预测未来。


易迎			以前我们村来了表演杂技的，印象最深的是胸口碎大石，当时村里的有个恶霸对表演不屑，觉得没什么了不起的，自己非要亲自去试试，拆杂技团的台，他自是很聪明的要求换小石头，一锤子落下去，他被救护车抬走了！！！


Alone°祝英台…			我哥电动车买来第二天， 被偷了 ，查了监控 ，还是他自己给小偷指的路出去， 哈哈哈 。。。他说新车不记得什么样子。。。


深秋的香樟树			去姐姐家做客小外甥可热情了，我说姨不渴，砰的一声就给我开了一瓶饮料，然后就是他姥爷.姥姥，就是所有的大人人手一瓶，唯独就是不给小孩子开[大笑]（也包括他自己）


胖香			娃儿前段时间被狗咬了，最近突然想起来交农村合作医疗的时候，绑了一个50块的意外险，兴冲冲的开车去了市保险公司


老鼠拎刀找猫			以前工作时，有个生产线的小男孩，是那种比较有个性的那种，喜欢找我聊天


手鐲啟瓶器			小时候都爱吹泡泡糖，我们圈子我最厉害，每次都偷偷嚼三个，每次都是我吹的最大。有次偷偷嚼了四个泡泡糖，众目睽睽之下吹了一个超大的泡泡，然后，泡泡炸开，把我整个头反包住了，正在我准备小心翼翼地把泡泡皮摘下来的时候，不知道是谁抱住我的脑袋，猛的一阵揉……第二天，摸着亮堂堂的光头，我学会了低调。


鱼小小真漂亮			中午一个人在家，有些无聊，不想做饭就点了份外卖……


上凹下凸			五岁的小侄女说她长大了想当一名医生，我问她：如果我牙疼该怎么办呢？


(糗名昭著)~魅儿…			到了婚嫁的年龄，整天纠结是买房好还是租.房好，昨天跟医院的保洁阿姨聊起这事，她考虑了一会说，讲实话哈，个人觉得还是租.房好，没有房.贷压力，虽然现在房价不怎么涨了，但银.行.利.息还是高的吓人，首.付也得要好多钱不是？租.房还不用考虑房间布置、装修风格、房屋格局、地理位置好不好等等一系列的问题，而且现在房.租涨的也有限，我市中心的6套房子已经半年没涨他们房.租了。


歌歌哒f			小时候一犯错就会被父母骂，直到有天我看见也是经常犯错的一个小伙伴，但他却从来没被骂过，原因是他把责任都推给他弟弟了，


猪头小小败			男人果然是差不多的。我问我老公有钱了会不会花心。他说等我有了一个亿，我就找两个二奶。我说好吧，那我放心了。


陈一默			单位聚餐，结束时，经理让我送女同事回去。


唐僧熟了			侄子生日请了四个女同学，问他这四位里谁是你女朋友，侄子嘴一撇：四个我都喜欢，可惜她们不喜欢我。那怎么把四个都请来了？侄子嘿嘿一乐：我要故意厚此薄彼，让她们互相猜忌，争取拿下一个。


无书斋主			我的老家在湘西大山中……


正版煮茶			和表弟在公园散步，表弟说他在同龄人中找不到女朋友。   旁边一个大妈抱着她孙女，和大爷一起散步。大妈插嘴说：小兄弟你何必在同龄人中找？你愿意等等吗？。说完又颠了几下小孙女。


夏小夏~			在闺蜜家喝了几瓶啤酒，横着走路回到了家。


喜欢就是淡淡滴爱			作为一个过来人，我给年轻人的建议是：别过来。


上凹下凸			表弟去新东方学成归来，主动下厨……


鱼小小真漂亮			一大早，老妈就把我从床上拉起来，催我洗脸刷牙打扮一番，说要去相亲！


歌歌哒f			做客的时候我去的最迟，到的时候他们已经开吃了，我连忙坐下，正当我拿起筷子时突然有人对我说道：你筷子还没用，借我们分一下菜，我看了看手里的筷子然后递了过去，等到他分完菜递还给我时只见他习惯性的把筷子放嘴里嗦了一下……


歌歌哒f			媳妇平时对女儿的管教比较严，导致女儿有些怕她，今天同事结婚我带着女儿想让她去散散心，出门时对女儿说道：遇到年轻一点的男的喊哥哥，女的喊姐姐，年纪大一点的男的喊叔叔，女的喊阿姨，如果是脸上有皱纹和满头白发的就喊爷爷或奶奶，知道不？……


无书斋主			昨天，老婆的闺蜜来长沙旅游，晚上住我家！


